# Phase 1 Proxy Calibration Run Sheet
# 30 paired samples from five independent process trajectories

run_id,aliquot_time_min,sample_id,T_nominal,pH_nominal,d50_nominal
C1,10,C1_10m,50,3.0,600
C1,25,C1_25m,50,3.0,600
C1,45,C1_45m,50,3.0,600
C1,70,C1_70m,50,3.0,600
C1,95,C1_95m,50,3.0,600
C1,120,C1_120m,50,3.0,600
C2,10,C2_10m,95,1.5,150
C2,25,C2_25m,95,1.5,150
C2,45,C2_45m,95,1.5,150
C2,70,C2_70m,95,1.5,150
C2,95,C2_95m,95,1.5,150
C2,120,C2_120m,95,1.5,150
C3,10,C3_10m,75,2.2,300
C3,25,C3_25m,75,2.2,300
C3,45,C3_45m,75,2.2,300
C3,70,C3_70m,75,2.2,300
C3,95,C3_95m,75,2.2,300
C3,120,C3_120m,75,2.2,300
C4,10,C4_10m,95,3.0,300
C4,25,C4_25m,95,3.0,300
C4,45,C4_45m,95,3.0,300
C4,70,C4_70m,95,3.0,300
C4,95,C4_95m,95,3.0,300
C4,120,C4_120m,95,3.0,300
C5,10,C5_10m,50,1.5,150
C5,25,C5_25m,50,1.5,150
C5,45,C5_45m,50,1.5,150
C5,70,C5_70m,50,1.5,150
C5,95,C5_95m,50,1.5,150
C5,120,C5_120m,50,1.5,150
